,year,location
2153,1978,Vietnam
2154,1979,China
2155,1979,Vietnam
2156,1980,China
2157,1980,Vietnam
2158,1981,China
2159,1981,Vietnam
2160,1983,China
2161,1983,Vietnam
2162,1984,China
2163,1984,Vietnam
2164,1986,China
2165,1986,Vietnam
2166,1987,China
2167,1987,Vietnam
2168,1988,China
2169,1988,Vietnam
2170,1979,India
2171,1980,India
2172,1981,India
2173,1982,India
2174,1983,India
2176,1985,India
2177,1986,India
2179,1988,India
2189,1977,Nicaragua
2190,1978,Nicaragua
2191,1979,Nicaragua
2192,1982,Nicaragua
2193,1983,Nicaragua
2194,1984,Nicaragua
2195,1985,Nicaragua
2196,1986,Nicaragua
2197,1987,Nicaragua
2198,1988,Nicaragua
2199,1989,Nicaragua
2200,1990,Nicaragua
2201,1982,Somalia
2202,1983,Somalia
2204,1984,Somalia
2206,1986,Somalia
2207,1987,Somalia
2208,1988,Somalia
2209,1989,Somalia
2211,1990,Somalia
2214,1991,Somalia
2218,1992,Somalia
2219,1993,Somalia
2220,1994,Somalia
2221,1995,Somalia
2222,1996,Somalia
2223,2001,Somalia
2224,2002,Somalia
2225,2006,Somalia
2226,2007,Somalia
2227,2008,Somalia
2229,2009,Somalia
2231,2010,Somalia
2233,2011,Somalia
2234,2012,Somalia
2235,2013,Somalia
2236,2014,Somalia
2237,2015,Somalia
2238,2016,Somalia
2246,1991,Iran
2248,1997,Iran
2249,1999,Iran
2250,2000,Iran
2251,2001,Iran
2252,2005,Iran
2253,2006,Iran
2255,2007,Iran
2257,2008,Iran
2259,2009,Iran
2261,2010,Iran
2262,2011,Iran
2265,1979,Saudi Arabia
2266,1980,Liberia
2267,1989,Liberia
2268,1990,Liberia
2270,2000,Liberia
2271,2001,Liberia
2272,2002,Liberia
2273,2003,Liberia
2275,1978,Spain
2276,1979,Spain
2277,1980,Spain
2278,1981,Spain
2279,1982,Spain
2280,1985,Spain
2281,1986,Spain
2282,1987,Spain
2283,1991,Spain
2284,1980,Tunisia
2285,1981,Gambia
2293,1982,Argentina
2322,1982,Kenya
2324,1983,Nigeria
2325,1983,Grenada
2326,1983,United States
2338,1984,Sri Lanka
2340,1985,Sri Lanka
2343,1986,Sri Lanka
2344,1987,Sri Lanka
2345,1988,Sri Lanka
2349,1991,Sri Lanka
2350,1992,Sri Lanka
2351,1993,Sri Lanka
2352,1994,Sri Lanka
2353,1995,Sri Lanka
2354,1996,Sri Lanka
2355,1997,Sri Lanka
2356,1998,Sri Lanka
2357,1999,Sri Lanka
2358,2000,Sri Lanka
2359,2001,Sri Lanka
2360,2003,Sri Lanka
2361,2005,Sri Lanka
2362,2006,Sri Lanka
2363,2007,Sri Lanka
2364,2008,Sri Lanka
2365,2009,Sri Lanka
2366,1960,Cameroon
2367,1961,Cameroon
2368,1984,Cameroon
2369,2015,Cameroon
2370,2016,Cameroon
2371,1984,Turkey
2372,1985,Turkey
2373,1986,Turkey
2374,1987,Turkey
2375,1988,Turkey
2376,1989,Turkey
2377,1990,Turkey
2378,1991,Turkey
2379,1992,Turkey
2380,1993,Turkey
2381,1994,Turkey
2382,1995,Turkey
2383,1996,Turkey
2384,1997,Turkey
2385,1998,Turkey
2386,1999,Turkey
2387,2000,Turkey
2388,2001,Turkey
2389,2002,Turkey
2390,2003,Turkey
2391,2004,Turkey
2392,2005,Turkey
2393,2006,Turkey
2394,2007,Turkey
2395,2008,Turkey
2396,2009,Turkey
2397,2010,Turkey
2398,2011,Turkey
2399,2012,Turkey
2400,2013,Turkey
2401,2015,Turkey
2402,2016,Turkey
2403,1985,Burkina Faso
2404,1985,Mali
2405,1986,Laos
2406,1986,Thailand
2407,1987,Laos
2408,1987,Thailand
2409,1988,Laos
2410,1988,Thailand
2411,1987,Suriname
2412,1986,Togo
2413,1986,South Yemen
2414,1987,Burkina Faso
2416,1987,Libya
2417,1989,Comoros
2466,1990,Indonesia
2467,1991,Indonesia
2469,2000,Indonesia
2470,2001,Indonesia
2471,2002,Indonesia
2472,2003,Indonesia
2473,2004,Indonesia
2474,2005,Indonesia
2475,1989,Panama
2477,1989,United States
2478,1990,Papua New Guinea
2479,1992,Papua New Guinea
2480,1993,Papua New Guinea
2481,1994,Papua New Guinea
2482,1995,Papua New Guinea
2483,1996,Papua New Guinea
2484,1989,Rumania
2487,1990,Kuwait
2489,1991,Kuwait
2490,1990,Mali
2491,1994,Mali
2492,2007,Mali
2493,2008,Mali
2494,2009,Mali
2495,2012,Mali
2496,2014,Mali
2497,2015,Mali
2498,1994,Niger
2499,1990,Rwanda
2500,1991,Rwanda
2501,1992,Rwanda
2502,1993,Rwanda
2503,1994,Rwanda
2504,1996,Rwanda
2505,1997,Rwanda
2506,1998,Rwanda
2507,1999,Rwanda
2508,2000,Rwanda
2509,2001,Rwanda
2510,2002,Rwanda
2511,2009,Rwanda
2512,2010,Rwanda
2513,2011,Rwanda
2514,2012,Rwanda
2515,2016,Rwanda
2516,1990,Senegal
2517,1992,Senegal
2518,1993,Senegal
2519,1995,Senegal
2520,1997,Senegal
2521,1998,Senegal
2522,2000,Senegal
2523,2001,Senegal
2524,2003,Senegal
2525,2011,Senegal
2526,1990,Russia
2527,1991,Russia
2529,1990,Trinidad and Tobago
2530,1991,Djibouti
2531,1992,Djibouti
2532,1993,Djibouti
2533,1994,Djibouti
2534,1999,Djibouti
2535,1991,Georgia
2536,1992,Georgia
2537,1993,Georgia
2538,1989,Haiti
2539,1991,Haiti
2540,2004,Haiti
2542,1991,Sierra Leone
2543,1992,Sierra Leone
2544,1993,Sierra Leone
2545,1994,Sierra Leone
2546,1995,Sierra Leone
2547,1996,Sierra Leone
2548,1997,Sierra Leone
2551,1998,Sierra Leone
2554,1999,Sierra Leone
2556,2000,Sierra Leone
2558,2001,Sierra Leone
2564,1991,Serbia
2567,1992,Serbia
2568,1991,Algeria
2569,1992,Algeria
2570,1993,Algeria
2572,1994,Algeria
2574,1995,Algeria
2576,1996,Algeria
2578,1997,Algeria
2580,1998,Algeria
2581,1999,Algeria
2583,2000,Algeria
2585,2001,Algeria
2587,2002,Algeria
2589,2003,Algeria
2591,2004,Algeria
2592,2005,Algeria
2593,2006,Algeria
2594,2007,Algeria
2595,2008,Algeria
2596,2009,Algeria
2597,2010,Algeria
2598,2011,Algeria
2599,2012,Algeria
2601,2013,Algeria
2602,2014,Algeria
2603,2015,Algeria
2604,2016,Algeria
2608,1996,Angola
2609,1997,Angola
2614,2004,Angola
2615,2007,Angola
2616,2009,Angola
2617,1991,Azerbaijan
2618,1992,Azerbaijan
2619,1993,Azerbaijan
2620,1994,Azerbaijan
2621,1997,Azerbaijan
2622,1998,Azerbaijan
2623,2005,Azerbaijan
2624,2008,Azerbaijan
2625,2012,Azerbaijan
2626,2014,Azerbaijan
2627,2015,Azerbaijan
2628,2016,Azerbaijan
2629,1992,Bosnia-Herzegovina
2631,1993,Bosnia-Herzegovina
2633,1994,Bosnia-Herzegovina
2635,1995,Bosnia-Herzegovina
2637,1992,Croatia
2639,1993,Croatia
2640,1995,Croatia
2641,1993,Egypt
2642,1994,Egypt
2643,1995,Egypt
2644,1996,Egypt
2645,1997,Egypt
2646,1998,Egypt
2647,2014,Egypt
2651,2004,Georgia
2652,2008,Georgia
2653,1992,Moldova
2654,1992,Tajikistan
2656,1993,Tajikistan
2657,1994,Tajikistan
2658,1995,Tajikistan
2659,1996,Tajikistan
2660,1997,Tajikistan
2661,1998,Tajikistan
2663,2000,Tajikistan
2664,2010,Tajikistan
2666,2011,Tajikistan
2668,1995,Azerbaijan
2676,1993,Russia
2677,1994,Mexico
2678,1996,Mexico
2679,1994,Russia
2680,1995,Russia
2681,1996,Russia
2682,1999,Russia
2683,2000,Russia
2684,2001,Russia
2685,2002,Russia
2686,2003,Russia
2687,2004,Russia
2688,2005,Russia
2689,2006,Russia
2690,2007,Russia
2691,1994,Yemen
2692,1995,Ecuador
2695,1994,Pakistan
2696,1995,Pakistan
2702,2010,Pakistan
2716,1996,Cameroon
2717,1996,Nigeria
2718,1995,Niger
2719,1997,Comoros
2720,1993,Congo
2729,2002,Congo
2731,1998,Eritrea
2735,2000,Eritrea
2737,2016,Eritrea
2739,1998,Guinea-Bissau
2740,1999,Guinea-Bissau
2741,1998,Lesotho
2742,1998,Serbia
2743,1999,Serbia
2757,1992,Ethiopia
2759,1995,Ethiopia
2779,1999,Uzbekistan
2780,2000,Uzbekistan
2781,2004,Uzbekistan
2782,2001,Central African Republic
2783,2002,Central African Republic
2784,2006,Central African Republic
2785,2009,Central African Republic
2786,2010,Central African Republic
2787,2011,Central African Republic
2788,2012,Central African Republic
2789,2013,Central African Republic
2791,2001,Macedonia
2792,2001,FYR
2793,2001,United States
2794,2002,United States
2795,2003,United States
2796,2004,United States
2797,2005,United States
2798,2006,United States
2799,2007,United States
2800,2008,United States
2801,2009,United States
2802,2010,United States
2803,2011,United States
2804,2012,United States
2805,2013,United States
2806,2014,United States
2807,2015,United States
2808,2016,United States
2809,2002,Ivory Coast
2811,2003,Ivory Coast
2813,2004,Ivory Coast
2814,2011,Ivory Coast
2815,2003,Australia
2816,2003,Iraq
2817,2003,United Kingdom
2835,2003,Thailand
2836,2004,Thailand
2837,2005,Thailand
2838,2006,Thailand
2839,2007,Thailand
2840,2008,Thailand
2841,2009,Thailand
2842,2010,Thailand
2844,2012,Thailand
2845,2013,Thailand
2846,2014,Thailand
2847,2015,Thailand
2848,2016,Thailand
2849,2004,Nigeria
2858,1997,Israel
2859,1998,Israel
2860,1999,Israel
2862,1978,Tanzania
2863,1978,Uganda
2864,1975,Mauritania
2865,1976,Mauritania
2866,1977,Mauritania
2867,1978,Mauritania
2870,1991,Niger
2871,1992,Niger
2872,1997,Niger
2873,2007,Niger
2874,2008,Niger
2876,1979,Russia
2878,2008,Russia
2879,2009,Russia
2880,2010,Russia
2881,2011,Russia
2882,2012,Russia
2883,2013,Russia
2884,2014,Russia
2885,2015,Russia
2887,2008,Djibouti
2888,2008,Eritrea
2908,2010,Mauritania
2909,2011,Mauritania
2912,1967,Egypt
2914,1969,Egypt
2916,1970,Egypt
2918,1973,Egypt
2921,2011,South Sudan
2923,2012,South Sudan
2924,2013,South Sudan
2926,2014,South Sudan
2927,2015,South Sudan
2928,2016,South Sudan
2929,2011,Libya
2931,2014,Libya
2933,2015,Libya
2937,2013,Mali
2944,2016,Mali
2948,2008,China
2949,2005,Bangladesh
2951,2006,Bangladesh
2960,2013,Malaysia
2961,1947,Hyderabad
2966,2014,Ukraine
2970,2015,Ukraine
2973,2016,Ukraine
2979,2016,Russia
2989,2015,Niger
2990,2016,Niger
2991,2015,Chad
2995,2015,Kenya
2996,2016,Kenya
2997,2015,Egypt
2998,2016,Egypt
3001,2016,Bangladesh
3002,2014,Lebanon
3003,2015,Lebanon
3005,2001,United Kingdom
3008,2016,Libya
3011,2016,Jordan
